sic87,naics97,mapping_ec,mapping_official,mapping_all,weight_mapping_ec,weight_mapping_official,weight_mapping_all,weight_emp,weight_estabs,weight_pay,weight_ship,rw1,tot_rw,rw2,weight_hybrid,source,weight_shipments,emp,estabs,shipments,pay,test
1382,213112,1,1,1,.5,.5,.5,.58701521,.82205516,.51535678,,,0,1,.58701521,both,.36640292,4132,984,299940,111315,1
1382,541360,1,1,1,.5,.5,.5,.41298479,.17794487,.48464322,,,0,1,.41298479,both,.63359708,2907,213,518667,104681,1
1389,213112,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,101986,6082,11201340,3510631,1
1400,212///,13,13,13,.86666667,.86666667,.86666667,.98083079,.96881801,.98188508,.98864269,,0,1,.98083079,,,,,,,1
1400,213///,1,1,1,.06666667,.06666667,.06666667,.018534999,.028100073,.017294874,.010862805,,0,1,.018534999,,,,,,,1
1400,541///,1,1,1,.06666667,.06666667,.06666667,.00063419971,.0030819434,.00082007702,.00049445871,,0,1,.00063419971,,,,,,,1
1410,2123//,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1411,212311,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,1658,178,125606,38213,1
1420,2123//,3,3,3,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1422,212312,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,27563,1435,4470738,957853,1
1423,212313,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,6812,290,1512891,271019,1
1429,212319,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,7925,459,1258031,281120,1
1440,2123//,2,2,2,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1442,212321,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,26837,2367,3471094,905254,1
1446,212322,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,2803,140,511557,91306,1
1450,2123//,2,2,2,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1455,212324,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,3630,35,938438,146258,1
1459,212325,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,3782,132,619424,118572,1
1470,2123//,3,3,3,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1474,212391,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,4805,27,1702985,237391,1
1475,212392,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,3858,20,1016889,169479,1
1479,212393,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,2160,45,361396,88110,1
1480,2131//,1,1,1,.5,.5,.5,.96691567,.9011628,.95472926,.95646322,,0,1,.96691567,,,,,,,1
