psu2,hh_size,age_category,gender,weight,store_installment_debt,bank_installment_debt,store_revolving_debt,has_charge_account,income,year
76,4,3,1,208,0,0,150,1,335,1949
80,1,5,2,411,0,0,0,0,180,1949
25,3,5,1,473,0,0,0,0,50,1949
87,5,3,1,473,0,0,0,0,450,1949
87,1,5,1,411,0,0,0,0,28,1949
87,2,6,1,411,0,0,30,1,200,1949
75,6,3,1,234,0,1950,0,1,262,1949
49,5,2,1,353,0,0,0,0,310,1949
49,4,2,1,378,0,1420,0,0,325,1949
62,4,3,1,411,0,0,0,0,434,1949
62,3,5,1,135,0,0,10,1,320,1949
62,3,3,1,135,0,0,10,1,520,1949
83,5,2,1,208,0,0,0,0,378,1949
83,1,6,2,208,0,0,0,0,137,1949
83,4,3,1,208,0,0,30,1,580,1949
71,3,3,1,411,0,0,0,0,260,1949
51,4,3,1,208,0,0,0,0,280,1949
51,4,5,1,378,0,0,0,0,333,1949
43,7,3,1,353,0,0,0,0,211,1949
33,4,3,1,208,0,0,90,1,173,1949
33,7,4,1,208,0,0,0,0,292,1949
33,1,3,2,208,0,0,0,1,425,1949
85,2,5,1,208,0,0,0,0,500,1949
33,2,2,1,378,0,0,0,0,160,1949
16,2,6,1,234,0,0,0,0,152,1949
86,1,6,2,473,0,0,0,0,48,1949
35,3,3,1,208,0,0,0,0,206,1949
89,4,3,1,208,0,0,70,1,489,1949
16,2,3,1,411,0,0,0,0,225,1949
75,4,4,1,208,0,0,0,1,1940,1949
49,2,6,2,208,0,0,0,0,24,1949
83,1,5,2,208,0,0,0,0,200,1949
14,3,2,1,234,0,0,0,1,400,1949
90,3,2,1,411,0,0,0,1,306,1949
75,2,5,1,208,0,0,0,0,208,1949
86,1,6,2,208,0,0,0,0,50,1949
71,5,2,1,208,0,100,0,0,240,1949
43,2,2,2,353,0,0,0,0,28,1949
42,5,2,1,353,0,0,0,0,465,1949
83,2,5,1,411,0,0,50,1,306,1949
43,2,2,2,378,0,0,0,0,216,1949
35,1,4,2,208,0,0,0,0,117,1949
45,2,5,1,378,0,0,0,0,216,1949
63,4,3,1,234,0,0,0,1,1244,1949
34,6,3,1,184,0,0,0,0,126,1949
35,4,3,1,184,50,450,10,1,157,1949
35,3,6,1,378,0,700,0,0,79,1949
32,6,5,1,184,0,0,0,0,186,1949
88,2,4,2,234,0,0,0,0,315,1949
39,3,5,1,378,0,0,0,0,631,1949
71,2,5,1,234,0,0,0,0,84,1949
37,2,1,1,184,0,0,0,0,23,1949
37,2,1,1,184,0,0,0,0,38,1949
38,4,3,1,378,0,0,0,0,171,1949
38,8,4,1,184,0,0,0,0,23,1949
66,1,6,2,234,0,0,0,0,64,1949
35,8,4,1,184,0,2100,0,0,167,1949
65,2,4,1,234,0,0,0,0,189,1949
42,4,2,1,184,0,0,0,0,109,1949
35,2,5,1,184,0,100,0,0,36,1949
78,2,3,1,234,0,0,0,0,91,1949
78,4,4,1,234,0,400,0,0,141,1949
78,2,4,1,234,0,0,0,0,140,1949
62,2,6,1,208,0,0,10,1,260,1949
36,2,2,1,411,0,0,200,1,274,1949
36,3,6,2,411,0,0,140,1,265,1949
50,8,4,1,353,0,0,0,0,249,1949
50,2,4,1,353,0,0,20,1,96,1949
43,4,6,1,378,0,0,140,1,110,1949
49,4,2,1,353,0,0,0,0,300,1949
45,3,5,1,208,0,0,10,1,300,1949
90,2,6,1,135,0,0,0,0,45,1949
40,1,3,2,208,0,0,0,1,170,1949
34,4,5,1,353,0,120,0,0,124,1949
13,3,3,1,234,0,30,60,1,600,1949
42,3,2,1,353,0,0,0,0,234,1949
25,3,3,2,234,0,0,0,0,575,1949
25,5,4,1,234,0,0,10,1,768,1949
25,4,3,1,234,0,300,0,0,482,1949
92,1,4,2,473,0,0,0,0,0,1949
92,7,2,1,208,0,0,70,1,227,1949
92,2,6,1,208,0,0,0,0,160,1949
76,4,2,1,411,0,150,0,0,279,1949
34,2,5,1,184,0,0,0,1,443,1949
34,6,3,1,184,0,100,0,0,133,1949
34,5,2,1,184,0,0,0,0,43,1949
39,3,6,1,378,0,1500,0,0,55,1949
72,2,4,1,411,0,2350,0,0,639,1949
64,7,3,1,234,0,0,0,0,415,1949
34,8,5,1,184,0,0,0,0,34,1949
78,2,5,1,234,0,0,0,0,297,1949
65,4,2,1,234,0,3200,0,1,394,1949
65,1,6,1,234,0,0,0,0,210,1949
