psu,weight,durable_price,durable,item_code1,item_code2,item_code3,item_code4,item_code5,item_code6,item_code_a1,item_code_a2,item_code_a3,payment_method,year,code_string,code_a_string,television,refrigerator,washing_machine,cook_stove,clothes_dryer,dishwasher,freezer,credit_use,psu2,city_cca
5541,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,55,
3517,32,438,338,1,&,0,0,0,0,2,0,0,1,1959,1&0000,200,1,0,0,0,0,0,0,0,35,Indianapolis
3005,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,30,
5415,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,54,Columbus
5415,37,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,54,Columbus
&109,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,&1,Newark
6415,32,229,190,3,&,0,0,0,0,6,0,0,1,1959,3&0000,600,0,0,1,0,0,0,0,0,64,
3749,31,312,312,5,&,0,0,0,0,3,0,0,3,1959,5&0000,300,0,0,0,0,0,0,1,0.5,37,
3207,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,32,
3215,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,32,
6012,31,120,120,4,0,0,0,0,0,0,0,0,2,1959,400000,000,0,0,0,1,0,0,0,1,60,
0315,34,250,250,&,0,0,0,0,0,1,0,0,2,1959,&00000,100,0,0,0,0,0,0,0,1,03,
5922,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,59,
3641,32,595,595,2,4,5,0,0,0,0,0,0,1,1959,245000,000,0,1,0,1,0,0,0,0,36,Columbus
-229,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,-2,Newark
