NAME,state,r_90,r_77,r_change,st,ever_nolimit,year,r_usury,nolimit
Montana,MT,30,18,12,30,1,1986,30,1
Montana,MT,30,18,12,30,1,1988,30,1
Montana,MT,30,18,12,30,1,1975,18,0
Montana,MT,30,18,12,30,1,1987,30,1
North Carolina,NC,18,18,0,37,0,1986,18,0
North Carolina,NC,18,18,0,37,0,1988,18,0
North Carolina,NC,18,18,0,37,0,1972,18,0
North Carolina,NC,18,18,0,37,0,1973,18,0
North Carolina,NC,18,18,0,37,0,1971,18,0
North Carolina,NC,18,18,0,37,0,1987,18,0
North Carolina,NC,18,18,0,37,0,1977,18,0
North Carolina,NC,18,18,0,37,0,1974,18,0
North Carolina,NC,18,18,0,37,0,1981,18,0
North Carolina,NC,18,18,0,37,0,1979,18,0
North Carolina,NC,18,18,0,37,0,1975,18,0
